frequency	e'	e''
1000000000.0000	  57.7502	  17.7126
1190000000.0000	  56.4333	  16.1873
1380000000.0000	  55.9571	  14.6737
1570000000.0000	  55.9874	  13.9462
1760000000.0000	  55.6929	  13.5220
1950000000.0000	  55.1660	  13.2237
2140000000.0000	  54.9809	  13.1560
2330000000.0000	  54.1655	  13.0378
2520000000.0000	  54.2649	  12.7136
2710000000.0000	  53.9744	  12.8792
2900000000.0000	  53.4607	  12.4231
3090000000.0000	  53.5401	  12.6522
3280000000.0000	  53.0223	  12.7821
3470000000.0000	  53.0780	  12.8032
3660000000.0000	  52.9699	  13.1380
3850000000.0000	  52.5782	  13.2124
4040000000.0000	  52.3654	  13.3008
4230000000.0000	  52.0522	  13.5826
4420000000.0000	  51.9269	  13.6377
4610000000.0000	  51.9797	  13.9148
4800000000.0000	  51.6495	  14.2988
4990000000.0000	  51.1506	  14.7871
5180000000.0000	  50.7670	  14.5210
5370000000.0000	  50.5537	  14.8505
5560000000.0000	  50.4899	  15.0903
5750000000.0000	  50.1721	  15.3043
5940000000.0000	  49.9585	  15.2677
6130000000.0000	  49.8924	  15.7042
6320000000.0000	  49.3471	  15.8068
6510000000.0000	  49.2681	  16.0880
6700000000.0000	  49.1749	  16.1253
6890000000.0000	  48.8526	  16.6694
7080000000.0000	  48.4178	  16.7102
7270000000.0000	  48.2669	  16.9299
7460000000.0000	  48.0078	  17.0165
7650000000.0000	  48.0153	  17.4237
7840000000.0000	  47.6253	  17.6050
8030000000.0000	  47.3591	  17.8373
8220000000.0000	  47.1114	  17.9922
8410000000.0000	  46.8064	  18.1277
8600000000.0000	  46.4658	  18.4203
8790000000.0000	  46.3171	  18.5282
8980000000.0000	  46.0686	  18.5613
9170000000.0000	  45.9299	  19.0894
9360000000.0000	  45.2892	  19.2679
9550000000.0000	  45.1029	  19.3854
9740000000.0000	  44.6854	  19.5042
9930000000.0000	  44.7169	  19.6344
10120000000.0000	  44.3997	  19.7370
10310000000.0000	  44.1102	  20.1660
10500000000.0000	  43.7905	  20.0263
10690000000.0000	  43.4739	  20.1024
10880000000.0000	  43.4606	  20.4689
11070000000.0000	  43.1550	  20.5068
11260000000.0000	  42.8952	  20.8654
11450000000.0000	  42.6962	  20.9381
11640000000.0000	  42.0010	  21.0607
11830000000.0000	  42.0698	  21.0575
12020000000.0000	  41.8828	  21.4297
12210000000.0000	  41.6100	  21.5612
12400000000.0000	  41.0261	  21.5153
12590000000.0000	  40.7011	  21.7532
12780000000.0000	  40.5694	  21.5151
12970000000.0000	  40.3753	  21.4948
13160000000.0000	  40.2544	  22.1224
13350000000.0000	  39.8943	  21.8123
13540000000.0000	  39.4204	  22.1433
13730000000.0000	  39.5892	  22.0888
13920000000.0000	  39.1077	  22.4661
14110000000.0000	  38.7822	  22.5000
14300000000.0000	  38.4169	  22.7269
14490000000.0000	  38.0599	  22.2170
14680000000.0000	  38.3201	  22.6059
14870000000.0000	  37.9039	  22.6221
15060000000.0000	  37.9756	  22.7199
15250000000.0000	  36.9416	  23.1560
15440000000.0000	  37.2500	  22.3167
15630000000.0000	  37.2315	  23.1758
15820000000.0000	  36.9229	  23.3498
16010000000.0000	  36.2439	  23.0236
16200000000.0000	  36.1432	  23.3475
16390000000.0000	  35.3475	  23.0681
16580000000.0000	  35.3664	  23.0051
16770000000.0000	  35.2899	  22.8108
16960000000.0000	  35.1312	  23.0427
17150000000.0000	  34.5995	  22.6175
17340000000.0000	  35.0507	  23.3693
17530000000.0000	  34.0169	  23.1266
17720000000.0000	  34.6084	  23.4059
17910000000.0000	  33.9436	  23.4018
18100000000.0000	  33.8544	  23.0259
18290000000.0000	  33.6300	  23.3296
18480000000.0000	  33.6837	  23.1093
18670000000.0000	  33.0433	  23.3777
18860000000.0000	  33.3926	  23.1071
19050000000.0000	  32.4663	  23.0987
19240000000.0000	  32.8794	  23.4374
19430000000.0000	  32.4268	  22.8716
19620000000.0000	  32.4389	  23.8739
19810000000.0000	  31.7378	  23.8488
20000000000.0000	  31.2248	  23.1768
