frequency	e'	e''
1000000000.0000	  62.1623	  16.0483
1190000000.0000	  61.0200	  15.1777
1380000000.0000	  60.6019	  13.4109
1570000000.0000	  60.6423	  13.0359
1760000000.0000	  60.2988	  12.7256
1950000000.0000	  59.6674	  12.2585
2140000000.0000	  59.4386	  12.4343
2330000000.0000	  58.7210	  11.7156
2520000000.0000	  58.9101	  11.9222
2710000000.0000	  58.6457	  11.6768
2900000000.0000	  58.2605	  11.9167
3090000000.0000	  58.2251	  12.0224
3280000000.0000	  57.7696	  12.1218
3470000000.0000	  57.6915	  12.4814
3660000000.0000	  57.3242	  12.3215
3850000000.0000	  57.0796	  12.8868
4040000000.0000	  56.6277	  12.6610
4230000000.0000	  56.5364	  13.2108
4420000000.0000	  56.3851	  13.4033
4610000000.0000	  55.9226	  13.6177
4800000000.0000	  56.1228	  14.1742
4990000000.0000	  55.0132	  14.4667
5180000000.0000	  55.2156	  14.5742
5370000000.0000	  54.6693	  14.8940
5560000000.0000	  54.6810	  15.0405
5750000000.0000	  54.6946	  15.4868
5940000000.0000	  53.7176	  15.6389
6130000000.0000	  54.3549	  16.0189
6320000000.0000	  53.2175	  16.2096
6510000000.0000	  53.7413	  16.6828
6700000000.0000	  53.1253	  16.7893
6890000000.0000	  52.9405	  17.3558
7080000000.0000	  52.9413	  17.4743
7270000000.0000	  51.9490	  17.8919
7460000000.0000	  52.7177	  17.8858
7650000000.0000	  51.6953	  18.6283
7840000000.0000	  52.0933	  18.7410
8030000000.0000	  51.5628	  19.0193
8220000000.0000	  51.1719	  19.5885
8410000000.0000	  51.4486	  19.3028
8600000000.0000	  50.4750	  20.2258
8790000000.0000	  51.2971	  20.0273
8980000000.0000	  50.1000	  20.5484
9170000000.0000	  50.8313	  21.0041
9360000000.0000	  50.0222	  21.2339
9550000000.0000	  49.6260	  21.9253
9740000000.0000	  50.0333	  21.3596
9930000000.0000	  48.9768	  22.6223
10120000000.0000	  49.8931	  21.7674
10310000000.0000	  48.8950	  23.0368
10500000000.0000	  49.1936	  22.8082
10690000000.0000	  48.8231	  22.3718
10880000000.0000	  48.5363	  23.9218
11070000000.0000	  49.0570	  22.4761
11260000000.0000	  47.8416	  24.4003
11450000000.0000	  48.9300	  23.1212
11640000000.0000	  47.4046	  24.3697
11830000000.0000	  48.2641	  24.1685
12020000000.0000	  47.9292	  24.0472
12210000000.0000	  47.4835	  25.9375
12400000000.0000	  47.3012	  23.5154
12590000000.0000	  46.5159	  26.3443
12780000000.0000	  47.1556	  23.8174
12970000000.0000	  46.5991	  24.9756
13160000000.0000	  47.3212	  25.4513
13350000000.0000	  46.4183	  24.2831
13540000000.0000	  46.3470	  26.0185
13730000000.0000	  46.1580	  23.8823
13920000000.0000	  46.1229	  26.2818
14110000000.0000	  45.7515	  24.2569
14300000000.0000	  45.6987	  25.4681
14490000000.0000	  45.6109	  25.0609
14680000000.0000	  45.1343	  24.0464
14870000000.0000	  45.6439	  25.5985
15060000000.0000	  44.9418	  23.9354
15250000000.0000	  44.4698	  25.2077
15440000000.0000	  45.0339	  23.6465
15630000000.0000	  44.4891	  24.7512
15820000000.0000	  44.5314	  24.2892
16010000000.0000	  43.7262	  23.8110
16200000000.0000	  44.0546	  24.6663
16390000000.0000	  42.4492	  23.1769
16580000000.0000	  43.5147	  23.7842
16770000000.0000	  42.7422	  22.9612
16960000000.0000	  42.2453	  23.0703
17150000000.0000	  42.8618	  22.8087
17340000000.0000	  41.5980	  23.0652
17530000000.0000	  41.6188	  22.3955
17720000000.0000	  41.9722	  23.0868
17910000000.0000	  40.8377	  22.5997
18100000000.0000	  40.6825	  21.8508
18290000000.0000	  40.7108	  22.9193
18480000000.0000	  39.4942	  21.0095
18670000000.0000	  39.9247	  22.6885
18860000000.0000	  39.4080	  20.4861
19050000000.0000	  38.6811	  21.7943
19240000000.0000	  39.1459	  20.7069
19430000000.0000	  37.8748	  20.7492
19620000000.0000	  39.1968	  21.6745
19810000000.0000	  36.2931	  19.8782
20000000000.0000	  38.8064	  22.3466
