Coaxial Probe Method 18.0.19012401
Keysight Technologies,E5071C,MY46733767,B.14.08

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 30.000000 Hz
Power:, -5.000000 dBm
Date:,"Thursday, October 14, 2021 13:23:04"
frequency(Hz),Tr 1  Data(e'),(e'')
   1000000.0000,9.999000e+003,9.999000e+003
 200990000.0000,-1.000000e+006,-1.000000e+006
 400980000.0000,-1.000000e+006,-1.000000e+006
 600970000.0000,-1.000000e+006,-1.000000e+006
 800960000.0000,-1.000000e+006,-1.000000e+006
1000950000.0000,-1.000000e+006,-1.000000e+006
1200940000.0000,-1.000000e+006,-1.000000e+006
1400930000.0000,-1.000000e+006,-1.000000e+006
1600920000.0000,-1.000000e+006,-1.000000e+006
1800910000.0000,-1.000000e+006,-1.000000e+006
2000900000.0000,-1.000000e+006,-1.000000e+006
2200890000.0000,-1.000000e+006,-1.000000e+006
2400880000.0000,-1.000000e+006,-1.000000e+006
2600870000.0000,-1.000000e+006,-1.000000e+006
2800860000.0000,-1.000000e+006,-1.000000e+006
3000850000.0000,-1.000000e+006,-1.000000e+006
3200840000.0000,-1.000000e+006,-1.000000e+006
3400830000.0000,-1.000000e+006,-1.000000e+006
3600820000.0000,-1.000000e+006,-1.000000e+006
3800810000.0000,-1.000000e+006,-1.000000e+006
4000800000.0000,-1.000000e+006,-1.000000e+006
4200790000.0000,-1.000000e+006,-1.000000e+006
4400780000.0000,-1.000000e+006,-1.000000e+006
4600770000.0000,-1.000000e+006,-1.000000e+006
4800760000.0000,-1.000000e+006,-1.000000e+006
5000750000.0000,-1.000000e+006,-1.000000e+006
5200740000.0000,-1.000000e+006,-1.000000e+006
5400730000.0000,-1.000000e+006,-1.000000e+006
5600720000.0000,-1.000000e+006,-1.000000e+006
5800710000.0000,-1.000000e+006,-1.000000e+006
6000700000.0000,-1.000000e+006,-1.000000e+006
6200690000.0000,-1.000000e+006,-1.000000e+006
6400680000.0000,-1.000000e+006,-1.000000e+006
6600670000.0000,-1.000000e+006,-1.000000e+006
6800660000.0000,-1.000000e+006,-1.000000e+006
7000650000.0000,-1.000000e+006,-1.000000e+006
7200640000.0000,-1.000000e+006,-1.000000e+006
7400630000.0000,-1.000000e+006,-1.000000e+006
7600620000.0000,-1.000000e+006,-1.000000e+006
7800610000.0000,-1.000000e+006,-1.000000e+006
8000600000.0000,-1.000000e+006,-1.000000e+006
8200590000.0000,-1.000000e+006,-1.000000e+006
8400580000.0000,-1.000000e+006,-1.000000e+006
8600570000.0000,-1.000000e+006,-1.000000e+006
8800560000.0000,-1.000000e+006,-1.000000e+006
9000550000.0000,-1.000000e+006,-1.000000e+006
9200540000.0000,-1.000000e+006,-1.000000e+006
9400530000.0000,-1.000000e+006,-1.000000e+006
9600520000.0000,-1.000000e+006,-1.000000e+006
9800510000.0000,-1.000000e+006,-1.000000e+006
10000500000.0000,-1.000000e+006,-1.000000e+006
10200490000.0000,-1.000000e+006,-1.000000e+006
10400480000.0000,-1.000000e+006,-1.000000e+006
10600470000.0000,-1.000000e+006,-1.000000e+006
10800460000.0000,-1.000000e+006,-1.000000e+006
11000450000.0000,-1.000000e+006,-1.000000e+006
11200440000.0000,-1.000000e+006,-1.000000e+006
11400430000.0000,-1.000000e+006,-1.000000e+006
11600420000.0000,-1.000000e+006,-1.000000e+006
11800410000.0000,-1.000000e+006,-1.000000e+006
12000400000.0000,-1.000000e+006,-1.000000e+006
12200390000.0000,-1.000000e+006,-1.000000e+006
12400380000.0000,-1.000000e+006,-1.000000e+006
12600370000.0000,-1.000000e+006,-1.000000e+006
12800360000.0000,-1.000000e+006,-1.000000e+006
13000350000.0000,-1.000000e+006,-1.000000e+006
13200340000.0000,-1.000000e+006,-1.000000e+006
13400330000.0000,-1.000000e+006,-1.000000e+006
13600320000.0000,-1.000000e+006,-1.000000e+006
13800310000.0000,-1.000000e+006,-1.000000e+006
14000300000.0000,-1.000000e+006,-1.000000e+006
14200290000.0000,-1.000000e+006,-1.000000e+006
14400280000.0000,-1.000000e+006,-1.000000e+006
14600270000.0000,-1.000000e+006,-1.000000e+006
14800260000.0000,-1.000000e+006,-1.000000e+006
15000250000.0000,-1.000000e+006,-1.000000e+006
15200240000.0000,-1.000000e+006,-1.000000e+006
15400230000.0000,-1.000000e+006,-1.000000e+006
15600220000.0000,-1.000000e+006,-1.000000e+006
15800210000.0000,-1.000000e+006,-1.000000e+006
16000200000.0000,-1.000000e+006,-1.000000e+006
16200190000.0000,-1.000000e+006,-1.000000e+006
16400180000.0000,-1.000000e+006,-1.000000e+006
16600170000.0000,-1.000000e+006,-1.000000e+006
16800160000.0000,-1.000000e+006,-1.000000e+006
17000150000.0000,-1.000000e+006,-1.000000e+006
17200140000.0000,-1.000000e+006,-1.000000e+006
17400130000.0000,-1.000000e+006,-1.000000e+006
17600120000.0000,-1.000000e+006,-1.000000e+006
17800110000.0000,-1.000000e+006,-1.000000e+006
18000100000.0000,-1.000000e+006,-1.000000e+006
18200090000.0000,-1.000000e+006,-1.000000e+006
18400080000.0000,-1.000000e+006,-1.000000e+006
18600070000.0000,-1.000000e+006,-1.000000e+006
18800060000.0000,-1.000000e+006,-1.000000e+006
19000050000.0000,-1.000000e+006,-1.000000e+006
19200040000.0000,-1.000000e+006,-1.000000e+006
19400030000.0000,-1.000000e+006,-1.000000e+006
19600020000.0000,-1.000000e+006,-1.000000e+006
19800010000.0000,-1.000000e+006,-1.000000e+006
20000000000.0000,-1.000000e+006,-1.000000e+006

